Sl.No,Date,vehicle_category,maker,electric_vehicles_sold
530,01-Aug-22,2-Wheelers,HERO ELECTRIC,9925
531,01-Aug-22,2-Wheelers,AMPERE,6771
532,01-Aug-22,2-Wheelers,TVS,6426
533,01-Aug-22,2-Wheelers,ATHER,5376
534,01-Aug-22,2-Wheelers,BAJAJ,2620
535,01-Aug-22,2-Wheelers,OKAYA EV,905
536,01-Aug-22,2-Wheelers,REVOLT,1662
537,01-Aug-22,2-Wheelers,PURE EV,880
538,01-Aug-22,2-Wheelers,BEING,1099
539,01-Aug-22,2-Wheelers,JITENDRA,653
540,01-Aug-22,2-Wheelers,OTHERS,3678
541,01-Aug-23,2-Wheelers,OLA ELECTRIC,18983
542,01-Aug-23,2-Wheelers,TVS,15296
543,01-Aug-23,2-Wheelers,ATHER,7065
544,01-Aug-23,2-Wheelers,BAJAJ,6508
545,01-Aug-23,2-Wheelers,AMPERE,3654
546,01-Aug-23,2-Wheelers,OKINAWA,1977
547,01-Aug-23,2-Wheelers,HERO ELECTRIC,774
548,01-Aug-23,2-Wheelers,OKAYA EV,1137
549,01-Aug-23,2-Wheelers,BGAUSS,912
550,01-Aug-23,2-Wheelers,BATTRE ELECTRIC,287
551,01-Aug-23,2-Wheelers,KINETIC GREEN,380
552,01-Aug-23,2-Wheelers,REVOLT,508
553,01-Aug-23,2-Wheelers,OTHERS,4990
554,01-Sep-21,2-Wheelers,HERO ELECTRIC,6727
555,01-Sep-21,2-Wheelers,OKINAWA,3321
556,01-Sep-21,2-Wheelers,AMPERE,807
557,01-Sep-21,2-Wheelers,ATHER,2174
558,01-Sep-21,2-Wheelers,PURE EV,1337
559,01-Sep-21,2-Wheelers,TVS,688
560,01-Sep-21,2-Wheelers,REVOLT,499
561,01-Sep-21,2-Wheelers,BAJAJ,381
562,01-Sep-21,2-Wheelers,BEING,337
563,01-Sep-21,2-Wheelers,JITENDRA,134
564,01-Sep-21,2-Wheelers,OTHERS,1627
565,01-Sep-22,2-Wheelers,OLA ELECTRIC,8065
566,01-Sep-22,2-Wheelers,OKINAWA,8497
567,01-Sep-22,2-Wheelers,HERO ELECTRIC,8208
568,01-Sep-22,2-Wheelers,AMPERE,6488
569,01-Sep-22,2-Wheelers,TVS,4001
570,01-Sep-22,2-Wheelers,ATHER,6280
571,01-Sep-22,2-Wheelers,BAJAJ,3649
572,01-Sep-22,2-Wheelers,OKAYA EV,954
573,01-Sep-22,2-Wheelers,REVOLT,865
574,01-Sep-22,2-Wheelers,PURE EV,790
575,01-Sep-22,2-Wheelers,BEING,975
576,01-Sep-22,2-Wheelers,JITENDRA,661
577,01-Sep-22,2-Wheelers,OTHERS,3849
578,01-Sep-23,2-Wheelers,OLA ELECTRIC,18926
579,01-Sep-23,2-Wheelers,TVS,15425
580,01-Sep-23,2-Wheelers,ATHER,7107
581,01-Sep-23,2-Wheelers,BAJAJ,7019
582,01-Sep-23,2-Wheelers,AMPERE,4148
583,01-Sep-23,2-Wheelers,OKINAWA,1769
584,01-Sep-23,2-Wheelers,HERO ELECTRIC,835
585,01-Sep-23,2-Wheelers,OKAYA EV,873
586,01-Sep-23,2-Wheelers,BGAUSS,924
587,01-Sep-23,2-Wheelers,BATTRE ELECTRIC,255
588,01-Sep-23,2-Wheelers,KINETIC GREEN,231
589,01-Sep-23,2-Wheelers,REVOLT,879
590,01-Sep-23,2-Wheelers,OTHERS,5355
591,01-Oct-21,2-Wheelers,HERO ELECTRIC,6799
592,01-Oct-21,2-Wheelers,OKINAWA,4166
593,01-Oct-21,2-Wheelers,AMPERE,1083
594,01-Oct-21,2-Wheelers,ATHER,2647
595,01-Oct-21,2-Wheelers,PURE EV,1400
596,01-Oct-21,2-Wheelers,TVS,486
597,01-Oct-21,2-Wheelers,REVOLT,900
598,01-Oct-21,2-Wheelers,BAJAJ,754
599,01-Oct-21,2-Wheelers,BEING,469
600,01-Oct-21,2-Wheelers,JITENDRA,283
601,01-Oct-21,2-Wheelers,OTHERS,1826
602,01-Oct-22,2-Wheelers,OLA ELECTRIC,15391
603,01-Oct-22,2-Wheelers,OKINAWA,14950
604,01-Oct-22,2-Wheelers,HERO ELECTRIC,8868
605,01-Oct-22,2-Wheelers,AMPERE,10113
606,01-Oct-22,2-Wheelers,TVS,5820
607,01-Oct-22,2-Wheelers,ATHER,7356
608,01-Oct-22,2-Wheelers,BAJAJ,3549
609,01-Oct-22,2-Wheelers,OKAYA EV,1968
610,01-Oct-22,2-Wheelers,REVOLT,1041
611,01-Oct-22,2-Wheelers,PURE EV,1047
612,01-Oct-22,2-Wheelers,BEING,1422
613,01-Oct-22,2-Wheelers,JITENDRA,1111
614,01-Oct-22,2-Wheelers,OTHERS,4614
615,01-Oct-23,2-Wheelers,OLA ELECTRIC,23968
616,01-Oct-23,2-Wheelers,TVS,16309
617,01-Oct-23,2-Wheelers,ATHER,8375
618,01-Oct-23,2-Wheelers,BAJAJ,8960
619,01-Oct-23,2-Wheelers,AMPERE,4487
620,01-Oct-23,2-Wheelers,OKINAWA,1457
621,01-Oct-23,2-Wheelers,HERO ELECTRIC,658
622,01-Oct-23,2-Wheelers,OKAYA EV,863
623,01-Oct-23,2-Wheelers,BGAUSS,1157
624,01-Oct-23,2-Wheelers,BATTRE ELECTRIC,227
625,01-Oct-23,2-Wheelers,KINETIC GREEN,389
626,01-Oct-23,2-Wheelers,REVOLT,681
627,01-Oct-23,2-Wheelers,OTHERS,7092
628,01-Nov-21,2-Wheelers,HERO ELECTRIC,7493
629,01-Nov-21,2-Wheelers,OKINAWA,5542
630,01-Nov-21,2-Wheelers,AMPERE,2077
631,01-Nov-21,2-Wheelers,ATHER,2202
632,01-Nov-21,2-Wheelers,PURE EV,1688
633,01-Nov-21,2-Wheelers,TVS,522
634,01-Nov-21,2-Wheelers,REVOLT,780
635,01-Nov-21,2-Wheelers,BAJAJ,728
636,01-Nov-21,2-Wheelers,BEING,912
637,01-Nov-21,2-Wheelers,JITENDRA,273
638,01-Nov-21,2-Wheelers,OTHERS,2317
639,01-Nov-22,2-Wheelers,OLA ELECTRIC,15797
640,01-Nov-22,2-Wheelers,OKINAWA,9068
641,01-Nov-22,2-Wheelers,HERO ELECTRIC,9026
642,01-Nov-22,2-Wheelers,AMPERE,12446
643,01-Nov-22,2-Wheelers,TVS,8147
644,01-Nov-22,2-Wheelers,ATHER,7837
645,01-Nov-22,2-Wheelers,BAJAJ,3057
646,01-Nov-22,2-Wheelers,OKAYA EV,1783
647,01-Nov-22,2-Wheelers,REVOLT,524
648,01-Nov-22,2-Wheelers,PURE EV,925
649,01-Nov-22,2-Wheelers,BEING,1216
650,01-Nov-22,2-Wheelers,JITENDRA,1256
651,01-Nov-22,2-Wheelers,OTHERS,5693
652,01-Nov-23,2-Wheelers,OLA ELECTRIC,29980
653,01-Nov-23,2-Wheelers,TVS,18914
654,01-Nov-23,2-Wheelers,ATHER,9220
655,01-Nov-23,2-Wheelers,BAJAJ,11769
656,01-Nov-23,2-Wheelers,AMPERE,4638
657,01-Nov-23,2-Wheelers,OKINAWA,1587
658,01-Nov-23,2-Wheelers,HERO ELECTRIC,814
659,01-Nov-23,2-Wheelers,OKAYA EV,1281
660,01-Nov-23,2-Wheelers,BGAUSS,1589
661,01-Nov-23,2-Wheelers,BATTRE ELECTRIC,659
662,01-Nov-23,2-Wheelers,KINETIC GREEN,422
663,01-Nov-23,2-Wheelers,REVOLT,663
664,01-Nov-23,2-Wheelers,OTHERS,9707
665,01-Dec-21,2-Wheelers,HERO ELECTRIC,6402
666,01-Dec-21,2-Wheelers,OKINAWA,6184
667,01-Dec-21,2-Wheelers,AMPERE,3410
668,01-Dec-21,2-Wheelers,ATHER,1813
669,01-Dec-21,2-Wheelers,PURE EV,1685
670,01-Dec-21,2-Wheelers,OLA ELECTRIC,240
671,01-Dec-21,2-Wheelers,TVS,1119
672,01-Dec-21,2-Wheelers,REVOLT,835
673,01-Dec-21,2-Wheelers,BAJAJ,642
674,01-Dec-21,2-Wheelers,BEING,1190
675,01-Dec-21,2-Wheelers,JITENDRA,503
676,01-Dec-21,2-Wheelers,OTHERS,2603
677,01-Dec-22,2-Wheelers,OLA ELECTRIC,16919
678,01-Dec-22,2-Wheelers,OKINAWA,5281
679,01-Dec-22,2-Wheelers,HERO ELECTRIC,8100
680,01-Dec-22,2-Wheelers,AMPERE,4592
681,01-Dec-22,2-Wheelers,TVS,9363
682,01-Dec-22,2-Wheelers,ATHER,7693
683,01-Dec-22,2-Wheelers,BAJAJ,3240
684,01-Dec-22,2-Wheelers,OKAYA EV,1445
685,01-Dec-22,2-Wheelers,REVOLT,37
686,01-Dec-22,2-Wheelers,PURE EV,780
687,01-Dec-22,2-Wheelers,BEING,966
688,01-Dec-22,2-Wheelers,JITENDRA,668
689,01-Dec-22,2-Wheelers,OTHERS,5557
690,01-Dec-23,2-Wheelers,OLA ELECTRIC,30588
691,01-Dec-23,2-Wheelers,TVS,12171
692,01-Dec-23,2-Wheelers,ATHER,6471
693,01-Dec-23,2-Wheelers,BAJAJ,10292
694,01-Dec-23,2-Wheelers,AMPERE,3309
695,01-Dec-23,2-Wheelers,OKINAWA,953
696,01-Dec-23,2-Wheelers,HERO ELECTRIC,545
697,01-Dec-23,2-Wheelers,OKAYA EV,700
698,01-Dec-23,2-Wheelers,BGAUSS,1200
699,01-Dec-23,2-Wheelers,BATTRE ELECTRIC,241
700,01-Dec-23,2-Wheelers,KINETIC GREEN,660
701,01-Dec-23,2-Wheelers,REVOLT,673
702,01-Dec-23,2-Wheelers,OTHERS,7691
703,01-Jan-22,2-Wheelers,HERO ELECTRIC,8238
704,01-Jan-22,2-Wheelers,OKINAWA,5737
705,01-Jan-22,2-Wheelers,AMPERE,4366
706,01-Jan-22,2-Wheelers,ATHER,1881
707,01-Jan-22,2-Wheelers,PURE EV,1691
708,01-Jan-22,2-Wheelers,OLA ELECTRIC,1107
709,01-Jan-22,2-Wheelers,TVS,1155
710,01-Jan-22,2-Wheelers,REVOLT,673
711,01-Jan-22,2-Wheelers,BAJAJ,612
712,01-Jan-22,2-Wheelers,BEING,1062
713,01-Jan-22,2-Wheelers,JITENDRA,535
714,01-Jan-22,2-Wheelers,OTHERS,3065
715,01-Jan-23,2-Wheelers,OLA ELECTRIC,20148
716,01-Jan-23,2-Wheelers,OKINAWA,4407
717,01-Jan-23,2-Wheelers,HERO ELECTRIC,6399
718,01-Jan-23,2-Wheelers,AMPERE,4456
719,01-Jan-23,2-Wheelers,TVS,10462
720,01-Jan-23,2-Wheelers,ATHER,9224
721,01-Jan-23,2-Wheelers,BAJAJ,2252
722,01-Jan-23,2-Wheelers,OKAYA EV,1265
723,01-Jan-23,2-Wheelers,REVOLT,14
724,01-Jan-23,2-Wheelers,PURE EV,717
725,01-Jan-23,2-Wheelers,BEING,571
726,01-Jan-23,2-Wheelers,JITENDRA,522
727,01-Jan-23,2-Wheelers,OTHERS,4241
728,01-Jan-24,2-Wheelers,OLA ELECTRIC,32275
729,01-Jan-24,2-Wheelers,TVS,15153
730,01-Jan-24,2-Wheelers,ATHER,9244
731,01-Jan-24,2-Wheelers,BAJAJ,10753
732,01-Jan-24,2-Wheelers,AMPERE,2505
733,01-Jan-24,2-Wheelers,OKINAWA,675
734,01-Jan-24,2-Wheelers,HERO ELECTRIC,413
735,01-Jan-24,2-Wheelers,OKAYA EV,574
736,01-Jan-24,2-Wheelers,BGAUSS,1469
737,01-Jan-24,2-Wheelers,BATTRE ELECTRIC,284
738,01-Jan-24,2-Wheelers,KINETIC GREEN,810
739,01-Jan-24,2-Wheelers,REVOLT,524
740,01-Jan-24,2-Wheelers,OTHERS,6664
741,01-Feb-22,2-Wheelers,HERO ELECTRIC,7773
742,01-Feb-22,2-Wheelers,OKINAWA,6122
743,01-Feb-22,2-Wheelers,AMPERE,4431
744,01-Feb-22,2-Wheelers,ATHER,2232
745,01-Feb-22,2-Wheelers,PURE EV,1428
746,01-Feb-22,2-Wheelers,OLA ELECTRIC,3911
747,01-Feb-22,2-Wheelers,TVS,1560
748,01-Feb-22,2-Wheelers,REVOLT,1128
749,01-Feb-22,2-Wheelers,BAJAJ,1372
750,01-Feb-22,2-Wheelers,BEING,1149
751,01-Feb-22,2-Wheelers,JITENDRA,583
752,01-Feb-22,2-Wheelers,OTHERS,4033
753,01-Feb-23,2-Wheelers,OLA ELECTRIC,17762
754,01-Feb-23,2-Wheelers,OKINAWA,3848
755,01-Feb-23,2-Wheelers,HERO ELECTRIC,5863
756,01-Feb-23,2-Wheelers,AMPERE,6003
757,01-Feb-23,2-Wheelers,TVS,12671
758,01-Feb-23,2-Wheelers,ATHER,10069
759,01-Feb-23,2-Wheelers,BAJAJ,2537
760,01-Feb-23,2-Wheelers,OKAYA EV,1232
761,01-Feb-23,2-Wheelers,REVOLT,79
762,01-Feb-23,2-Wheelers,PURE EV,488
763,01-Feb-23,2-Wheelers,BEING,337
764,01-Feb-23,2-Wheelers,JITENDRA,308
765,01-Feb-23,2-Wheelers,OTHERS,4874
766,01-Feb-24,2-Wheelers,OLA ELECTRIC,33967
767,01-Feb-24,2-Wheelers,TVS,14431
768,01-Feb-24,2-Wheelers,ATHER,8957
769,01-Feb-24,2-Wheelers,BAJAJ,11603
770,01-Feb-24,2-Wheelers,AMPERE,2577
771,01-Feb-24,2-Wheelers,OKINAWA,652
772,01-Feb-24,2-Wheelers,HERO ELECTRIC,323
773,01-Feb-24,2-Wheelers,OKAYA EV,649
774,01-Feb-24,2-Wheelers,BGAUSS,1334
775,01-Feb-24,2-Wheelers,BATTRE ELECTRIC,219
776,01-Feb-24,2-Wheelers,KINETIC GREEN,624
777,01-Feb-24,2-Wheelers,REVOLT,473
778,01-Feb-24,2-Wheelers,OTHERS,6154
779,01-Mar-22,2-Wheelers,HERO ELECTRIC,13652
780,01-Mar-22,2-Wheelers,OKINAWA,8586
781,01-Mar-22,2-Wheelers,AMPERE,6666
782,01-Mar-22,2-Wheelers,ATHER,2232
783,01-Mar-22,2-Wheelers,PURE EV,2065
784,01-Mar-22,2-Wheelers,OLA ELECTRIC,9143
785,01-Mar-22,2-Wheelers,TVS,2391
786,01-Mar-22,2-Wheelers,REVOLT,1413
787,01-Mar-22,2-Wheelers,BAJAJ,855
788,01-Mar-22,2-Wheelers,BEING,1013
789,01-Mar-22,2-Wheelers,JITENDRA,1052
790,01-Mar-22,2-Wheelers,OTHERS,5330
791,01-Mar-23,2-Wheelers,OLA ELECTRIC,22398
792,01-Mar-23,2-Wheelers,OKINAWA,4509
793,01-Mar-23,2-Wheelers,HERO ELECTRIC,6661
794,01-Mar-23,2-Wheelers,AMPERE,9736
795,01-Mar-23,2-Wheelers,TVS,16896
796,01-Mar-23,2-Wheelers,ATHER,12180
797,01-Mar-23,2-Wheelers,BAJAJ,4552
798,01-Mar-23,2-Wheelers,OKAYA EV,1765
799,01-Mar-23,2-Wheelers,REVOLT,1140
800,01-Mar-23,2-Wheelers,PURE EV,584
801,01-Mar-23,2-Wheelers,BEING,446
802,01-Mar-23,2-Wheelers,JITENDRA,350
803,01-Mar-23,2-Wheelers,OTHERS,5089
804,01-Mar-24,2-Wheelers,OLA ELECTRIC,44630
805,01-Mar-24,2-Wheelers,TVS,26158
806,01-Mar-24,2-Wheelers,ATHER,17012
807,01-Mar-24,2-Wheelers,BAJAJ,17716
808,01-Mar-24,2-Wheelers,AMPERE,3108
809,01-Mar-24,2-Wheelers,OKINAWA,673
810,01-Mar-24,2-Wheelers,HERO ELECTRIC,316
811,01-Mar-24,2-Wheelers,OKAYA EV,1218
812,01-Mar-24,2-Wheelers,BGAUSS,3070
813,01-Mar-24,2-Wheelers,BATTRE ELECTRIC,625
814,01-Mar-24,2-Wheelers,KINETIC GREEN,3915
815,01-Mar-24,2-Wheelers,REVOLT,585
816,01-Mar-24,2-Wheelers,OTHERS,10579
